node,lng,lat
549,121.4621,31.2342134
550,121.4650532,31.2242429
551,121.4671475,31.2227992
552,121.4672329,31.2221814
553,121.4671733,31.2214244
554,121.4670253,31.2206639
555,121.4665134,31.2188985
556,121.4662937,31.2245365
557,121.5285651,31.1999268
558,121.5146806,31.2032467
559,121.4297525,31.2170789
560,121.4306607,31.2178348
561,121.4324182,31.2189957
562,121.5813967,31.2425758
563,121.5905252,31.2487974
564,121.6006743,31.2536488
565,121.5993611,31.2532305
566,121.5980126,31.2527718
567,121.597284,31.2524674
568,121.5961252,31.2519004
569,121.5950692,31.2513281
570,121.5936448,31.250589
571,121.5923952,31.2499483
572,121.5907609,31.2490847
573,121.5900223,31.2486369
574,121.5868575,31.2465188
575,121.585909,31.2458047
576,121.5850445,31.2464137
577,121.5838337,31.2472725
578,121.5837743,31.2472356
579,121.5844609,31.2467513
580,121.5858523,31.2457613
581,121.5865924,31.2397311
582,121.5828864,31.2478648
583,121.5690245,31.2175876
584,121.5738799,31.2124924
585,121.5752821,31.2130105
586,121.5839153,31.2109079
587,121.5810732,31.2102755
588,121.4429461,31.2256958
589,121.4406051,31.2245044
590,121.5804612,31.2420989
591,121.5805041,31.2420035
592,121.5925118,31.2498772
593,121.5941769,31.2507431
594,121.5956361,31.2514915
595,121.5966918,31.2520272
596,121.597696,31.2525188
597,121.598623,31.2528563
598,121.5996358,31.2531792
599,121.6006228,31.2534947
600,121.4782946,31.2011469
601,121.4749194,31.2000028
602,121.4715836,31.2026335
603,121.5832401,31.2383341
604,121.5832693,31.2382274
605,121.3896506,31.1999187
606,121.3785052,31.1935633
607,121.3888694,31.1992602
608,121.3846029,31.1966905
609,121.3825012,31.1958051
610,121.4028074,31.204816
611,121.4027155,31.2047034
612,121.4274753,31.2181448
613,121.4184474,31.211463
614,121.4177799,31.2113086
615,121.4195109,31.2116968
616,121.4161385,31.2110177
617,121.4099057,31.209689
618,121.4064288,31.2074241
619,121.406166,31.2072297
620,121.4049198,31.2063462
621,121.4091946,31.2092612
622,121.407018,31.2078032
623,121.4073268,31.2094559
624,121.5108696,31.2243432
625,121.5021275,31.2256327
626,121.4062055,31.2283975
627,121.4059822,31.2292976
628,121.4060122,31.2331873
629,121.4075391,31.235964
630,121.4112574,31.2411038
631,121.411909,31.241501
632,121.4174356,31.2448515
633,121.4215156,31.247131
634,121.4403415,31.259019
635,121.44629,31.2601403
636,121.4496066,31.2609304
637,121.4544903,31.2619368
638,121.4831145,31.2876299
639,121.4870177,31.2876483
640,121.4975714,31.2893601
641,121.5188608,31.2850265
642,121.5204964,31.2813563
643,121.5207213,31.2808654
644,121.5282304,31.2723986
645,121.5277484,31.2730639
646,121.5314119,31.2678985
647,121.5473921,31.2524789
648,121.5578936,31.2445887
649,121.5898603,31.2426959
650,121.5402667,31.218649
651,121.5427515,31.2203962
652,121.5433781,31.2206927
653,121.5390389,31.2174141
654,121.5396348,31.2196809
655,121.5413474,31.2195476
656,121.5923821,31.2380488
657,121.591087,31.2409247
658,121.5788647,31.2412549
659,121.5796975,31.2416581
660,121.5679218,31.2370449
661,121.5862807,31.2509065
662,121.5779726,31.2452383
663,121.5736824,31.2432551
664,121.5902968,31.2489785
665,121.5904125,31.2488891
666,121.5929152,31.2463697
667,121.5934282,31.245786
668,121.5999915,31.2373708
669,121.6004129,31.2367231
670,121.6006106,31.2363501
671,121.6007799,31.2359636
672,121.6008887,31.2356531
673,121.6011017,31.2349334
674,121.6014035,31.2319335
675,121.6014557,31.2313944
676,121.6015198,31.230897
677,121.601689,31.229886
678,121.6019835,31.2287208
